"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000E0	1.730799135057292E9	"2024-11-05 10:32:15.057 UTC+01:00"
"PAUSE"	3.687764949999982E2	1.730799503832174E9	"2024-11-05 10:38:23.832 UTC+01:00"
