Time (s),Latitude,Longitude,Altitude,Altitude WGS84 (m),Speed (m/s),Direction (°),Distance (km),Horizontal Accuracy (m),Vertical Accuracy (m),Satellites
47.38543689,62.47193348,6.236265927,26.10998658,70.00360608,0.01484465523,NaN,0.01851935535,2.000000133,6.164000361,-1
49.38543105,62.47193348,6.23626519,25.89739814,69.79101762,0.01099614138,NaN,0.01853422129,2.000000128,5.528157137,-1
50.38542747,62.47193358,6.236265385,25.85964332,69.75326272,0.007202639654,NaN,0.01856349142,2.000000128,5.673760354,-1
51.38542414,62.47193379,6.236265718,25.7894842,69.68310341,0.007748912679,NaN,0.01861762948,2.000000116,5.882876788,-1
52.38542223,62.47193417,6.236266388,25.78801192,69.68163082,0.02768786863,NaN,0.01863114576,2.000000105,5.679356966,-1
53.38541782,62.47193426,6.236266216,25.85932139,69.7529402,0.009158708354,NaN,0.0186888292,2.000029374,6.1710493,-1
54.3854152,62.47193475,6.23626659,25.92381276,69.81743114,0.007140928221,NaN,0.01870757495,2.000000097,6.237616581,-1
55.38541222,62.47193484,6.236266901,25.93482907,69.82844738,0.01312118607,NaN,0.01876862753,2.000029184,5.962263978,-1
56.38540912,62.47193534,6.236267372,25.83067031,69.72428819,0.01077988746,NaN,0.0188251927,2.000000089,5.884575339,-1
57.38540518,62.47193583,6.236267656,25.71494018,69.60855763,0.01822320832,NaN,0.01889028811,2.000000083,5.889818409,-1
58.3854028,62.47193641,6.236267826,25.76108401,69.65470095,0.03730196678,NaN,0.01891884609,2.000000077,5.518562283,-1
59.3853991,62.47193661,6.236267462,25.77227083,69.66588759,0.01482275429,NaN,0.02147297661,2.000000077,5.721796341,-1
60.38539588,62.47195324,6.236233187,25.92386174,69.81746306,0.06596013725,NaN,0.02152812134,2,5.728192499,-1
61.38539279,62.47195335,6.236234232,26.05208076,69.945682,0.02596448219,NaN,0.02157139859,2,5.517287164,-1
62.38539004,62.47195342,6.236235062,26.18789543,70.08149663,0.007441900392,NaN,0.02162411006,2,5.461626192,-1
