Latitude,Longitude,Altitude
62.474674,6.236545,43.70
62.474674,6.236545,43.70
$PMTK001,220,3*30
62.474674,6.236545,0.00
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.70
62.474674,6.236545,43.70
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236545,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.60
62.474674,6.236543,43.70
62.474674,6.236543,43.70
62.474674,6.236543,43.70
62.474674,6.236543,43.70
62.474674,6.236543,43.70
62.474674,6.236543,43.70
62.474674,6.236543,43.70
62.474674,6.236543,43.70
62.474674,6.236543,43.70
62.474674,6.236543,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236542,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
62.474674,6.236540,43.70
