Latitude,Longitude,Altitude
62.474674,6.236552,43.50
62.474674,6.236552,43.50
$PMTK001,220,3*30
62.474674,6.236552,0.00
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236552,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236550,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
62.474674,6.236548,43.50
